Term,IDF
аахена,2.0
аац,2.0
аба,2.0
абад,2.0
абадан,2.0
абайя,2.0
абаршахра,2.0
абас,2.0
абассида,2.0
абба,2.0
аббас,1.39794
аббасид,1.39794
аббасида,2.0
аббасидский,2.0
аббасить,1.69897
аббревиатура,1.39794
абваб,2.0
абгиня,2.0
абд,1.69897
абдалла,1.39794
абдель,1.39794
абдманаф,2.0
абду,2.0
абдул,1.221849
абдулазиз,2.0
абдулкерим,1.69897
абдулл,1.522879
абдуллах,2.0
абдулмутталиб,2.0
абдулрахман,2.0
абдулрашид,2.0
абдуррахман,2.0
абдшамс,2.0
абдшамса,2.0
абеб,2.0
абебе,2.0
абел,2.0
абер,1.69897
абердин,1.522879
абецедно,2.0
абзац,1.522879
абитуриентаинженер,1.69897
абишир,2.0
абия,2.0
або,1.522879
абонент,1.69897
абонентский,2.0
абордаж,1.69897
абордажный,2.0
абориген,1.30103
абрам,2.0
абрамов,2.0
абрамович,1.221849
абрамченко,2.0
абрар,2.0
абрау,2.0
абрахам,1.39794
абруцци,2.0
абс,2.0
абсолютизм,1.522879
абсолютно,1.30103
абсолютный,0.886057
абстрактность,1.522879
абстрактный,1.30103
абстракционист,1.69897
абстракция,2.0
абсурдность,1.69897
абтнаундорф,2.0
абу,1.0
абубакар,2.0
абундия,2.0
абхазия,0.958607
абхазский,1.69897
абэ,1.69897
авадли,2.0
авак,2.0
авакумович,2.0
авангард,1.154902
авантюрист,2.0
авантюристический,2.0
авар,1.69897
аварийный,1.69897
авария,1.154902
аварский,2.0
аварэ,2.0
авача,2.0
авачинский,2.0
аввакум,1.69897
авг,1.39794
август,0.173925
августародившийся,2.0
августаскрыть,2.0
августаумереть,2.0
августинский,2.0
августовский,1.522879
авдеевка,2.0
авена,2.0
авено,2.0
авербах,1.69897
авербух,2.0
аверелла,1.69897
аверин,2.0
авест,2.0
авиа,2.0
авиабаза,1.39794
авиабилет,2.0
авиабомба,2.0
авиабомбардировка,2.0
авиадеталь,2.0
авиакатастрофа,1.221849
авиакомпания,1.39794
авиакомплекс,2.0
авиакон,2.0
авиаконструктор,1.522879
авиалиния,1.69897
авианалёт,1.69897
авианосец,1.69897
авианосный,1.69897
авиаоператор,2.0
авиаотрасль,2.0
авиапарк,2.0
авиапарка,2.0
авиаперевозка,2.0
авиаперевозчик,2.0
авиаперелёт,1.69897
авиапром,2.0
авиарейс,1.522879
авиаремонтный,2.0
авиасанкция,2.0
авиасообщение,2.0
авиастроение,2.0
авиастроительный,2.0
авиатехник,1.69897
авиатранспорт,1.69897
авиаудар,1.39794
авиахаб,2.0
авиационный,1.09691
авиация,0.744727
авив,1.221849
авил,1.522879
авлия,2.0
авпереть,1.69897
авраам,2.0
аврам,2.0
аврора,1.221849
австрал,1.69897
австралиец,2.0
австралийский,0.823909
австралия,0.853872
австриец,1.69897
австрииистория,2.0
австрийский,0.744727
австрия,0.60206
австро,1.0
авт,1.522879
автад,2.0
авто,1.39794
автобиография,2.0
автобус,1.221849
автобусный,2.0
автовокзал,2.0
автогонки,1.69897
автогонщик,1.221849
автограф,1.09691
автодорога,2.0
автодром,2.0
автозавод,2.0
автокефалия,2.0
автокефальный,2.0
автократический,2.0
автолюбитель,2.0
автомагистраль,1.30103
автомат,1.39794
автоматизация,1.221849
автоматизированный,1.30103
автоматизировать,1.39794
автоматика,2.0
автоматически,1.045757
автоматический,0.769551
автоматный,1.69897
автомобилестроение,1.522879
автомобиль,0.79588
автомобильный,0.920819
автономизация,1.69897
автономия,1.045757
автономный,0.744727
автопатрулировать,1.69897
автопортрет,2.0
автопроизводство,2.0
автопром,2.0
автопростановка,2.0
автор,0.387216
автореф,2.0
автореферат,2.0
авторизация,1.522879
авторитарный,2.0
авторитет,1.69897
авторитетность,2.0
авторитетный,0.744727
авторский,0.886057
авторство,0.040959
авторський,2.0
авторысценарий,1.69897
автосборочный,2.0
автоспорт,1.69897
автостанция,2.0
автостоп,2.0
автостоянка,2.0
автострада,2.0
автотранспорт,1.69897
автотранспортный,2.0
автофургон,2.0
автохтонный,2.0
автоэксперт,2.0
авуары,1.39794
ага,2.0
агабекян,2.0
агавотагуэрра,2.0
агаджани,2.0
агадирский,2.0
агалаковый,1.69897
агамемнон,1.69897
аганбегян,2.0
агат,2.0
агатсистема,2.0
агафон,2.0
агеев,1.69897
агеенко,2.0
агент,1.09691
агентный,1.69897
агентство,0.721246
агентствоперейти,2.0
агео,2.0
агильяр,2.0
агитационный,1.69897
агитация,1.69897
агитпроп,2.0
аглабид,2.0
агломерация,1.221849
агнат,2.0
агне,1.69897
аграрий,2.0
аграрный,1.69897
агрессивность,1.69897
агрессивный,1.09691
агрессия,0.958607
агрессор,1.522879
агро,1.69897
агробизнес,2.0
агроновость,2.0
агропродукция,2.0
агуано,2.0
ад,1.39794
адам,0.920819
адамович,1.522879
адамс,1.221849
адаптация,1.522879
адаптивный,2.0
адаптировать,1.221849
адар,2.0
адвентист,1.69897
адвенчер,2.0
адвокат,1.69897
адвокатский,1.69897
аддингтон,2.0
аддис,1.69897
аддый,2.0
адекватно,1.69897
адекватный,1.522879
аделайна,2.0
адель,2.0
адельфи,1.69897
аден,1.39794
адер,2.0
аджам,2.0
аджман,1.69897
адида,2.0
адлерберг,1.69897
адм,1.30103
административно,1.0
административный,0.60206
администратор,1.522879
администрация,0.721246
администрирование,2.0
адмирайтейский,2.0
адмирал,0.853872
адмиралтейский,1.69897
адмиралтейство,1.221849
адмиральский,1.69897
адольф,1.221849
адольфас,2.0
адольфо,2.0
адольфос,2.0
адонис,2.0
адоньев,2.0
адрес,0.657577
адресный,1.69897
адресовать,1.69897
адриана,1.69897
адрианополь,2.0
адрианопольский,1.522879
адриатик,1.69897
адриатический,1.39794
адронный,2.0
адъютант,1.30103
адыг,1.69897
адыгейский,2.0
адыгея,2.0
адь,2.0
ажиотаж,1.69897
азад,2.0
азадегана,2.0
азади,1.69897
азаний,1.69897
азанчить,2.0
азап,2.0
азарапет,2.0
азаренок,2.0
азаров,2.0
азатбек,2.0
азаттык,2.0
азбука,2.0
азбукин,2.0
азербайджан,0.769551
азербайджанец,1.69897
азербайджанский,1.0
азерь,2.0
азиат,1.522879
азиатский,0.958607
азиатско,1.522879
азиз,1.39794
азиза,1.69897
азиизависимый,1.69897
азииимперия,2.0
азиипризнанный,2.0
азимут,2.0
азия,0.60206
азиязападный,1.69897
азияюго,1.69897
азияюжный,1.69897
азлк,1.69897
азнавура,1.69897
азов,1.30103
азовский,1.30103
азовський,2.0
азот,2.0
азотный,2.0
азур,2.0
аим,1.69897
аин,1.69897
аини,2.0
аист,2.0
аит,1.69897
айва,1.69897
айвазовский,1.69897
айван,1.69897
айгунский,2.0
айдабел,2.0
айдахо,1.69897
айдить,1.522879
айзать,2.0
айзенберг,2.0
айить,2.0
айкан,2.0
айкинс,2.0
айкут,2.0
айленд,1.221849
айлогик,2.0
аймани,2.0
аймар,2.0
аймаранский,2.0
аймор,2.0
айова,1.69897
айран,2.0
айрапет,1.69897
айрат,2.0
айресский,1.69897
айриня,2.0
айронсайда,2.0
айтек,2.0
айтматов,2.0
айшат,2.0
айя,2.0
айяпир,2.0
акад,1.522879
академизм,2.0
академик,0.853872
академический,1.522879
академия,0.79588
академос,2.0
акамапичтлить,2.0
акатль,2.0
акбар,2.0
акбарабад,2.0
акватория,2.0
акведук,2.0
акгюля,2.0
акида,2.0
аким,2.0
акимов,2.0
акинари,2.0
акино,1.69897
акинфей,1.522879
акинч,2.0
акир,1.69897
акиям,1.69897
аккаунт,1.221849
аккерманна,2.0
аккерманский,2.0
аккзна,1.69897
акклиматизировать,2.0
аккредитация,1.69897
аккредитовать,1.69897
аккумулятор,2.0
аккумуляторный,1.69897
аккуратность,2.0
аккуратный,2.0
ако,2.0
акольуа,2.0
акопов,2.0
акоста,2.0
акр,1.30103
акраби,2.0
акробат,2.0
акробатический,2.0
акрон,2.0
акротири,1.154902
аксанас,2.0
аксель,2.0
аксессуар,1.69897
аксиома,1.69897
аксютина,2.0
аксёнов,1.69897
акт,0.769551
актив,1.30103
активация,1.30103
активизация,1.522879
активизировать,1.69897
активировать,2.0
активист,1.522879
активно,0.585027
активность,1.30103
активный,0.60206
акторный,1.522879
актриса,0.823909
актуализировать,2.0
актуально,1.522879
актуальность,2.0
актуальный,1.0
актёр,0.69897
актёрский,1.522879
акула,2.0
акуфо,2.0
акушерка,2.0
акхнур,1.69897
акцент,1.69897
акцентирование,2.0
акционер,1.30103
акционерный,1.522879
акция,0.744727
акча,2.0
акчурин,2.0
акынджи,2.0
ала,1.69897
алаа,2.0
алааддин,2.0
алабама,1.39794
алабуг,2.0
алави,2.0
алакалуф,2.0
алакалуфский,2.0
аламьё,1.69897
